MAPA ->,GCBA | Propiedades por categoría de uso,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0001,PARROQUIA NUESTRA SEÑORA DE GUADALUPE,"Mansilla, Lucio Norberto, Gral. 3847",📍maps,CABA,-34.588894,-58.417545,"Paraguay 3901 | Mansilla, Lucio Norberto, Gral. 3851 | Mansilla, Lucio Norberto, Gral. 3855",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes","Parroquia y anexos, Cedidos a terceros",Sin relevar
PROP_0002,Basílica SAN FRANCISCO,"Alsina, Adolfo 380",📍maps,CABA,-34.610158,-58.371766,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0003,Iglesia SAN BONIFACIO Y SAN VICENTE PALLOTTI,Cuba 2981,📍maps,CABA,-34.552921,-58.462396,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0004,Iglesia SAN FRANCISCO de SALES,Belgrano 3863,📍maps,CABA,-34.615774,-58.420963,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0005,Iglesia SAN JOSE,Gurruchaga 1010,📍maps,CABA,-34.593441,-58.43573,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0006,Iglesia SAN JOSE,Humberto 1° 1340,📍maps,CABA,-34.62114,-58.385129,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0007,IGLESIA SAN JUAN BAUTISTA I. C.,"Alsina, Adolfo 824",📍maps,CABA,-34.610595,-58.378023,,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0008,Iglesia SAN JUAN BAUTISTA de la SALLE,Riobamba 650,📍maps,CABA,-34.601473,-58.394213,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0009,Iglesia SAN MARCELINO CHAMPAGNAT,Montevideo 1050,📍maps,CABA,-34.596612,-58.389908,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0010,Iglesia SAN PABLO APOSTOL,Nazca 4249,📍maps,CABA,-34.589597,-58.499127,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0011,IGLESIA SANTA CATALINA DE SIENA,San Martin 705,📍maps,CABA,-34.59967,-58.37406,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0012,BASILICA SAN JOSE DE FLORES,Rivadavia Av. 6950,📍maps,CABA,-34.62913,-58.463338,"Pescadores 67 | Falcon, Ramon L.,Cnel. 2453",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U2
